date,value
2016-05-09,25983
2016-05-10,29129
2016-05-11,37448
2016-05-12,32018
2016-05-13,35689
2016-05-14,27014
2016-05-15,20986
2016-05-16,33918
2016-05-17,29665
2016-05-18,29676
2016-05-19,31814
2016-05-20,23739
2016-05-21,30369
2016-05-22,21093
2016-05-23,36490
2016-05-24,32210
2016-05-25,39228
2016-05-26,28308
2016-05-27,30089
2016-05-28,26377
2016-05-29,13691
2016-05-30,35908
2016-05-31,39516
2016-06-01,34554
2016-06-02,32734
2016-06-03,28270
2016-06-04,28450
2016-06-05,27450
2016-06-06,31083
2016-06-07,29186
2016-06-08,27391
2016-06-09,23089
2016-06-10,35411
2016-06-11,11460
2016-06-12,76093
2016-06-13,30222
2016-06-14,33739
2016-06-15,38288
2016-06-16,34487
2016-06-17,28102
2016-06-18,26241
2016-06-19,16332
2016-06-20,36830
2016-06-21,28938
2016-06-22,26391
2016-06-23,26605
2016-06-24,29533
2016-06-25,20916
2016-06-26,34370
2016-06-27,26369
2016-06-28,30163
2016-06-29,30180
2016-06-30,30221
2016-07-01,26397
2016-07-02,16752
2016-07-03,16283
2016-07-04,21929
2016-07-05,18839
2016-07-06,27402
2016-07-07,31282
2016-07-08,23685
2016-07-09,16647
2016-07-10,17898
2016-07-11,24217
2016-07-12,19379
2016-07-13,33426
2016-07-14,28835
2016-07-15,23122
2016-07-16,21206
2016-07-17,17568
2016-07-18,25742
2016-07-19,28660
2016-07-20,31645
2016-07-21,34518
2016-07-22,35480
2016-07-23,18756
2016-07-24,17541
2016-07-25,27578
2016-07-26,27762
2016-07-27,23489
2016-07-28,24098
2016-07-29,31306
2016-07-30,28489
2016-07-31,19187
2016-08-01,20120
2016-08-02,21983
2016-08-03,18464
2016-08-04,22116
2016-08-05,25632
2016-08-06,16153
2016-08-07,22773
2016-08-08,24394
2016-08-09,26086
2016-08-10,22976
2016-08-11,30338
2016-08-12,17688
2016-08-13,15322
2016-08-14,11012
2016-08-15,28051
2016-08-16,28212
2016-08-17,21421
2016-08-18,32331
2016-08-19,22594
2016-08-20,10203
2016-08-21,15754
2016-08-22,26000
2016-08-23,23068
2016-08-24,35608
2016-08-25,28597
2016-08-26,33016
2016-08-27,24329
2016-08-28,9011
2016-08-29,22591
2016-08-30,10878
2016-08-31,60232
2016-09-01,27247
2016-09-02,17496
2016-09-03,11568
2016-09-04,16422
2016-09-05,25768
2016-09-06,20090
2016-09-07,20633
2016-09-08,25997
2016-09-09,23262
2016-09-10,13605
2016-09-11,16644
2016-09-12,22492
2016-09-13,23425
2016-09-14,32198
2016-09-15,20706
2016-09-16,19573
2016-09-17,22380
2016-09-18,11823
2016-09-19,30991
2016-09-20,21461
2016-09-21,22841
2016-09-22,26180
2016-09-23,28617
2016-09-24,20577
2016-09-25,14614
2016-09-26,20840
2016-09-27,24449
2016-09-28,23425
2016-09-29,19580
2016-09-30,24885
2016-10-01,29771
2016-10-02,25673
2016-10-03,39700
2016-10-04,33972
2016-10-05,31181
2016-10-06,32501
